Handle,Size,Finish,Variant Image URL
olive-weave,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid-geometric_intersection-no14-NOFrame-48x72_6e241c60-6d55-45ab-9b0b-b5f542f5a206.png?v=1713720965
pink-weave,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/pink_weave_no1_no_frame-24x36_f87cc9ae-64b6-4bb3-88fd-2878716fb8d5.png?v=1713720939
pink-weave,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/pink_weave_no1_no_frame-36x48_d008e822-4eca-4810-a7e1-437685224508.png?v=1713720939
pink-weave,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid-geometric_intersection-no8-NoFrame-48x72_65f645fa-bd7c-4b15-8d97-d379eb46f2c3.png?v=1713720939
vivid-mosaic-no1,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no1-no_frame_24x36_36917e2b-df5a-4a41-a2de-5131590a1cfb.png?v=1713721743
vivid-mosaic-no1,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no1-no_frame_36x48_61881bb8-3143-4885-b1ed-21aba9b99924.png?v=1713721743
vivid-mosaic-no1,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no1_canvas-no_frame_48x72_3fb9f9fe-1be1-4b3a-9fcb-2fc9d934b364.png?v=1713721743
vivid-mosaic-no2,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no5_canvas-no_frame_24x36_2e646c45-3775-4b59-8d3f-b8eafb6ebd61.png?v=1713721718
vivid-mosaic-no2,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no5_canvas-No_frame_36x48_77aa4b92-a642-481c-a689-71df63de4388.png?v=1713721718
vivid-mosaic-no2,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no2_canvas-noframe_48x72_603b49ee-796c-4102-bb4d-fa023302833e.png?v=1713721718
vivid-mosaic-no3,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no3_canvas-no_frame_24x36_14e24ff3-0007-424e-95fe-54ca9dae87d6.png?v=1713721697
vivid-mosaic-no3,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no3_canvas-no_frame_36x48_bf0e4174-96dc-49c8-af42-f358bc1d13ef.png?v=1713721697
vivid-mosaic-no3,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no3_canvas_no_frame_53x72_d3440792-d972-4643-85f9-54c968425ad6.png?v=1713721697
vivid-mosaic-no4,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no4_canvas-no_frame_48x72_f21e4433-2ea1-479f-99d3-39379475d7d9.png?v=1713721667
vivid-mosaic-no4,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no4_canvas-no_frame_24x36_4c6e0c0e-6589-4356-bf19-2cb9d82ddfd1.png?v=1713721668
vivid-mosaic-no4,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no4_canvas-no_frame_36x48_73fbfbcb-24d3-491d-8ec7-b70efaadf483.png?v=1713721667
vivid-mosaic-no7,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/Vivid_Mosaic_no0_No_frame_24x36_77a61cda-e282-43d2-b3e7-00a06489e638.png?v=1713721642
vivid-mosaic-no7,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/Vivid_Mosaic_no0_No_frame_36x48_67566827-80fc-4d08-be47-123fb09219e0.png?v=1713721642
vivid-mosaic-no7,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/Vivid_Mosaic_no0_No_Frame_53x72_5d574ee9-1dfe-4eca-9118-9a51ce9a3be5.png?v=1713721642
noir-mosaic-no1,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/Noir_Mosaic-no1-No_Frame_24x36_dc6d0c1a-f562-4cef-ac44-d55234d5b6b9.png?v=1713721613
noir-mosaic-no1,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/Noir_Mosaic-no1-No_Frame_36x48_6bb04b5d-f77a-4664-8be6-7e0297cbe4da.png?v=1713721613
noir-mosaic-no1,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/noir_mosaic-no1-no_frame_53x72_6a14b85a-6097-4a53-b637-a6248ca015d9.png?v=1713721613
noir-mosaic-no2,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/Noir_Mosaic-no2-No_Frame_24x36_8f456c0b-b6ec-44f7-9c9e-65937caf5217.png?v=1713721585
noir-mosaic-no2,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/Noir_Mosaic-no2-No_Frame_36x48_7c9aa9b0-b474-4db2-9c87-edbfc7b7492e.png?v=1713721585
noir-mosaic-no2,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/noir_mosaic-no2-no_frame_53x72_cb9d7c79-66e3-4ee7-b60f-2c0b8d2fd6b7.png?v=1713721585
noir-mosaic-no3,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/Noir_Mosaic-no3-No_Frame_24x36_9384bffc-41b4-4798-b6fc-1c15b4273f99.png?v=1713721555
noir-mosaic-no3,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/noir_mosaic_no3_wall_mockup_36x48.png?v=1750000000
noir-mosaic-no3,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/Noir_Mosaic-no3-No_Frame_53x72_935edac9-47d2-43a3-8cfb-fdfbda9d21cb.png?v=1713721555
vivid-mosaic-no6,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no6_wall_mockup_24x36.png?v=1750000000
vivid-mosaic-no6,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no6_canvas_white_frame_36x48_073eda17-61ff-415f-b8e8-7307572d2762.png?v=1713721423
vivid-mosaic-no6,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no6_canvas-no_frame_52x72_7e3f2050-11a2-40a8-83ed-b5842898af31.png?v=1713721422
vivid-mosaic-no5,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no5_canvas-no_frame_24x36_72bdb1df-6765-4407-975e-fcc604c1770e.png?v=1713721395
vivid-mosaic-no5,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no5_canvas-No_frame_36x48_63248be7-3b51-4a68-aed0-d8ff4f13e2a5.png?v=1713721395
vivid-mosaic-no5,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/vivid_mosaic_no5_canvas-no_frame_48x72_c772e90c-ef4b-4ccc-9888-db9f3048b929.png?v=1713721395
fractal-color-dark-double,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/fractal_color_dark_double_wall_mockup_24x36.png?v=1750000000
fractal-color-dark-double,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/fractal_color_dark_double_wall_mockup_36x48.png?v=1750000000
fractal-color-dark-double,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/fractal_color_dark_double_wall_mockup_53x72.png?v=1750000000
fractal-color-red,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/FractalColor_Red_no1_No_Frame-24x36_b2b6d7a4-1b5e-4551-888f-ec1d23cb2d75.png?v=1713721992
fractal-color-red,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/FractalColor_Red_no1_No_Frame-36x48_307ab4b9-ffb1-45f7-b752-56a4ea25cc0b.png?v=1713721992
fractal-color-red,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/FractalColor_Red_001_NoFrame-36x48_107d8acc-c2aa-4b4a-93a9-8c34366c6a70.png?v=1713721992
fractal-color-light,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/FractalColor-Light_no3_No_Frame-24x36_0b5b5c57-7055-4736-a5c2-d56e53819908.png?v=1713721848
fractal-color-light,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/FractalColor-Light_no3_No_Frame-36x48_43deef4a-f2de-44ea-b0ed-1a1b5f0b6a46.png?v=1713721848
fractal-color-light,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/FractalColor-003_NoFrame-36x48_ba7a187f-b88b-41d5-b00f-bc9ed69ed887.png?v=1713721848
fractal-color-dark,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/FractalColor_no1_Dark_No_Frame-24x36_5d0073b2-5674-4695-91a7-f46511463866.png?v=1713721823
fractal-color-dark,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/FractalColor_no1_Dark_No_Frame-36x48_6495daaa-781b-4720-abfd-e22b84e07200.png?v=1713721823
fractal-color-dark,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/fractal_dark_no1_no_frame-53x72_b194db89-0485-4f85-89c2-b5823d97f963.png?v=1713721823
fractal-noir,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/Fractal-Chrome_no1_No_Frame-24x36_83c87021-2644-4c79-8040-6ef6c293e189.png?v=1713720912
fractal-noir,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/Fractal-Chrome_no1_No_Frame-36x48_22bb6f7b-5f1c-4634-a1d9-88a54826acca.png?v=1713720912
fractal-noir,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/FractalBW-001_NoFrame-48x72_3baf40ac-3516-434d-adb6-dee4ecd8ed48.png?v=1713720912
fractal-noir-double,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/fractal_noir_double_wall_mockup_24x36.png?v=1750000000
fractal-noir-double,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/fractal_noir_double_wall_mockup_36x48.png?v=1750000000
fractal-noir-double,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/fractal_noir_double_wall_mockup_53x72.png?v=1750000000
fractal-double-red,24x36,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/fractal_double_red_wall_mockup_24x36.png?v=1750000000
fractal-double-red,36x48,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/fractal_double_red_wall_mockup_36x48.png?v=1750000000
fractal-double-red,53x72,Gallery Wrapped Stretched Canvas,https://cdn.shopify.com/s/files/1/0785/1504/4639/files/fractal_double_red_wall_mockup_53x72.png?v=1750000000
